trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
1,action,1,1.3687451169788032,6,4,1.0,1,1,1
2,action,1,2.0600388214206693,8,3,1.0,1,1,1
3,action,1,2.57810340040998,5,2,0.2,0,0,0
4,comedy,0,2.257555025911773,7,2,0.7,1,1,0
5,comedy,0,3.812663673609564,7,2,0.8,1,1,0
6,comedy,0,3.956086719820404,7,2,0.7,1,0,0
7,drama,0,2.215406943993228,4,2,0.7,1,1,0
8,drama,0,2.5105313664547477,5,2,0.1,0,0,0
9,drama,0,2.197015989498035,2,7,0.8,1,0,0
10,history,-1,1.2663166647362227,7,2,0.5,1,0,0
11,history,-1,3.646893001480561,7,2,0.5,1,0,0
12,history,-1,1.8120273495265384,6,2,0.3,0,0,0
13,horror,-1,2.41510382579093,5,3,0.0,0,0,0
14,horror,-1,4.130304820959179,5,3,0.0,0,0,0
15,horror,-1,2.137732421513906,5,2,0.0,0,0,0
16,romance,1,1.614286961807629,8,2,1.0,1,1,1
17,romance,1,1.72367955599532,8,2,0.7,1,0,0
18,romance,1,2.747244298368204,5,2,0.8,1,0,0
19,scifi,0,3.6321963843177114,6,2,1.0,1,1,1
20,scifi,0,2.364663138990522,6,1,0.7,1,0,0
21,scifi,0,2.1548788453684207,6,3,0.8,1,0,0
1,action,1,2.4877385990259544,8,8,1.0,1,1,1
2,action,1,3.2114315494573105,9,7,1.0,1,0,0
3,action,1,2.8994666039643824,7,6,0.8,1,0,0
4,comedy,1,3.1709353048538573,9,6,0.8,1,0,0
5,comedy,1,3.199060780296885,8,6,0.9,1,0,0
6,comedy,1,2.198676020836213,9,7,1.0,1,0,0
7,drama,0,2.577584710586224,1,7,0.7,1,0,0
8,drama,0,1.7877922227658576,5,3,0.4,0,0,0
9,drama,0,2.4175894617850298,2,6,0.6,1,0,0
10,history,1,2.2785870177916503,5,2,0.1,0,0,0
11,history,1,1.9160866041367228,7,4,0.9,1,0,0
12,history,1,2.817919196031908,7,6,0.8,1,0,0
16,romance,1,1.9405597773094423,6,7,0.6,1,0,0
17,romance,1,2.3826678314689618,5,3,0.5,1,0,0
18,romance,1,1.6121753696686338,4,3,0.5,1,0,0
19,scifi,1,2.170207099870036,7,7,1.0,1,0,0
20,scifi,1,1.9267898943111488,5,6,0.8,1,0,0
1,action,0,2.253279544411559,6,8,0.8,1,0,0
2,action,0,2.6324526770278,7,7,0.7,1,0,0
3,action,0,2.274823980924189,7,8,0.7,1,0,0
4,comedy,1,3.389675256339428,8,7,0.9,1,0,0
5,comedy,1,2.942574908613024,8,7,0.8,1,0,0
6,comedy,1,2.2267672064810826,7,8,0.8,1,0,0
7,drama,1,2.2705475898511724,2,5,0.9,1,0,0
8,drama,1,2.416727540103956,3,5,0.4,0,0,0
9,drama,1,2.820805999513616,2,5,0.9,1,0,0
10,history,0,2.6508645660050147,5,4,0.4,0,0,0
11,history,0,1.7668525499483567,8,2,0.8,1,0,0
12,history,0,2.03579984127607,7,7,0.8,1,0,0
13,horror,-1,2.3011477797490136,5,7,0.2,0,0,0
14,horror,-1,2.34409568947509,4,7,0.1,0,0,0
15,horror,-1,2.1286936101336846,4,7,0.1,0,0,0
16,romance,1,1.869938563402102,7,8,0.8,1,0,0
17,romance,1,1.930501267695988,7,3,0.7,1,0,0
18,romance,1,1.891780296119677,5,3,0.5,1,0,0
19,scifi,1,2.0892057262188666,6,7,0.6,1,0,0
20,scifi,1,2.183473008597839,4,7,0.7,1,0,0
21,scifi,1,2.531397697205113,4,6,0.5,1,0,1
